Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,BYD,ATTO3-ADVANCED,CHINA,ELECTRIC,100.0,GALLE,BRAND NEW,2025.0,50,ATTO3-ADVANCED,Unknown
CAR,BYD,ATTO-3-SUPERIOR,CHINA,ELECTRIC,100.0,COLOMBO,BRAND NEW,2025.0,88,ATTO-3-SUPERIOR,Unknown
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,MATALE,RECONDITIONED,2023.0,1,5AA-A202A,RAIZE
CAR,NISSAN,5BD-DR17V CLIPPER,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,9,5BD-DR17V,CLIPPER
CAR,KIA,SONET,INDIA,PETROL,998.0,GAMPAHA,BRAND NEW,2025.0,11,,SONET
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,650.0,GAMPAHA,RECONDITIONED,2025.0,1,5BD-DA17V,EVERY
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,GAMPAHA,RECONDITIONED,2023.0,21,5BA-M900A,ROOMY
CAR,NISSAN,DAYZ 5BA-B43W,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,2024.0,1,,DAYZ 5BA-B43W
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2023.0,2,5AA-MK94S,SPACIA
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,657.0,KALUTARA,RECONDITIONED,2023.0,1,5AA-MH95S,WAGON R
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,BADULLA,RECONDITIONED,2024.0,5,6AA-RV5,VEZEL
CAR,SUZUKI,5A-MH95S WAGON R,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,2024.0,1,5A-MH95S,WAGON R
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,RATNAPURA,RECONDITIONED,2025.0,3,,CITY RS
CAR,DAIHATSU,4BA-M900S THOR,JAPAN,PETROL,996.0,GAMPAHA,RECONDITIONED,2024.0,2,4BA-M900S,THOR
CAR,TOYOTA,5BA-KSP210  YARIS,JAPAN,PETROL,996.0,GAMPAHA,RECONDITIONED,2024.0,3,5BA-KSP210,YARIS
CAR,BYD,ATTO3-ADVANCED,CHINA,ELECTRIC,100.0,RATNAPURA,BRAND NEW,2025.0,15,ATTO3-ADVANCED,Unknown
CAR,BYD,ATTO3-ADVANCED,CHINA,ELECTRIC,100.0,KURUNEGALA,BRAND NEW,2025.0,16,ATTO3-ADVANCED,Unknown
